_id,anno_rilevamento_reato,Reati_denunciati_tipologia,reati_denunciati
1,2023,Strage,0
2,2023,Omicidi volontari totale,9
3,2023,Omicidi a scopo di furto o rapina,0
4,2023,Omicidi di tipo mafioso,0
5,2023,Omicidi a scopo terroristico,0
6,2023,Tentati omicidi,31
7,2023,Infanticidi,0
8,2023,Omicidi preterintenzionali,0
9,2023,Omicidi colposi totale,47
10,2023,Omicidi colposi da incidente stradale,24
11,2023,Percosse,748
12,2023,Lesioni dolose,2093
13,2023,Minacce,1709
14,2023,Sequestri di persona,17
15,2023,Ingiurie,""
16,2023,Violenze sessuali,419
17,2023,Atti sessuali con minorenne,13
18,2023,Corruzione di minorenne,4
19,2023,Sfruttamento e favoreggiamento della prostituzione,4
20,2023,Pornografia minorile e detenzione di materiale pedopornografico,39
21,2023,Furti,85167
22,2023,furti con strappo,1805
23,2023,Furti  con destrezza,24734
24,2023,Furti  in abitazioni,3658
25,2023,Furti  in esercizi commerciali,5238
26,2023,Furti  in auto in sosta,7523
27,2023,Furti  di opere d'arte e materiale archeologico,13
28,2023,Furti di automezzi pesanti trasportanti merci,5
29,2023,Furti di ciclomotori,575
30,2023,Furti di motocicli,2957
31,2023,Furti di autovetture,3514
32,2023,Rapine totale,3366
33,2023,Rapine in abitazione,49
34,2023,Rapine in banca,2
35,2023,Rapine in uffici postali,0
36,2023,Rapine in esercizi commerciali,295
37,2023,Rapine in pubblica via,2270
38,2023,Estorsioni,453
39,2023,Truffe e frodi informatiche,11634
40,2023,Delitti informatici,1581
41,2023,Contraffazione di marchi e prodotti industriali,66
42,2023,Violazione della propriet? intellettuale,16
43,2023,Ricettazione,963
44,2023,"Riciclaggio e impiego di denaro, beni o utilit? di provenienza illecita",28
45,2023,Usura,3
46,2023,Danneggiamenti,16767
47,2023,Incendi totale,68
48,2023,Incendi boschivi,1
49,2023,Danneggiamento seguito da incendio,134
50,2023,Normativa sugli stupefacenti,2087
51,2023,Attentati,5
52,2023,Associazione per delinquere,8
53,2023,Associazione di tipo mafioso,0
54,2023,Contrabbando,1
55,2023,Altri delitti,17384
56,2023,Reati totale,144864
57,2022,Strage,0
58,2022,Omicidi volontari totale,9
59,2022,Omicidi a scopo di furto o rapina,0
60,2022,Omicidi di tipo mafioso,0
61,2022,Omicidi a scopo terroristico,0
62,2022,Tentati omicidi,34
63,2022,Infanticidi,0
64,2022,Omicidi preterintenzionali,1
65,2022,Omicidi colposi totale,40
66,2022,Omicidi colposi da incidente stradale,25
67,2022,Percosse,736
68,2022,Lesioni dolose,2083
69,2022,Minacce,1674
70,2022,Sequestri di persona,30
71,2022,Ingiurie,""
72,2022,Violenze sessuali,423
73,2022,Atti sessuali con minorenne,9
74,2022,Corruzione di minorenne,4
75,2022,Sfruttamento e favoreggiamento della prostituzione,8
76,2022,Pornografia minorile e detenzione di materiale pedopornografico,66
77,2022,Furti,87736
78,2022,furti con strappo,1888
79,2022,Furti  con destrezza,29034
80,2022,Furti  in abitazioni,3311
81,2022,Furti  in esercizi commerciali,5689
82,2022,Furti  in auto in sosta,7817
83,2022,Furti  di opere d'arte e materiale archeologico,11
84,2022,Furti di automezzi pesanti trasportanti merci,5
85,2022,Furti di ciclomotori,550
86,2022,Furti di motocicli,2401
87,2022,Furti di autovetture,3422
88,2022,Rapine totale,3367
89,2022,Rapine in abitazione,68
90,2022,Rapine in banca,10
91,2022,Rapine in uffici postali,0
92,2022,Rapine in esercizi commerciali,282
93,2022,Rapine in pubblica via,2358
94,2022,Estorsioni,419
95,2022,Truffe e frodi informatiche,10821
96,2022,Delitti informatici,1215
97,2022,Contraffazione di marchi e prodotti industriali,123
98,2022,Violazione della propriet? intellettuale,35
99,2022,Ricettazione,1049
100,2022,"Riciclaggio e impiego di denaro, beni o utilit? di provenienza illecita",24
101,2022,Usura,2
102,2022,Danneggiamenti,15896
103,2022,Incendi totale,72
104,2022,Incendi boschivi,1
105,2022,Danneggiamento seguito da incendio,141
106,2022,Normativa sugli stupefacenti,1630
107,2022,Attentati,2
108,2022,Associazione per delinquere,13
109,2022,Associazione di tipo mafioso,0
110,2022,Contrabbando,0
111,2022,Altri delitti,17110
112,2022,Reati totale,144772
113,2021,Strage,0
114,2021,Omicidi volontari totale,7
115,2021,Omicidi a scopo di furto o rapina,1
116,2021,Omicidi di tipo mafioso,0
117,2021,Omicidi a scopo terroristico,0
118,2021,Tentati omicidi,35
119,2021,Infanticidi,0
120,2021,Omicidi preterintenzionali,1
121,2021,Omicidi colposi totale,31
122,2021,Omicidi colposi da incidente stradale,19
123,2021,Percosse,656
124,2021,Lesioni dolose,1854
125,2021,Minacce,1744
126,2021,Sequestri di persona,32
127,2021,Ingiurie,""
128,2021,Violenze sessuali,291
129,2021,Atti sessuali con minorenne,14
130,2021,Corruzione di minorenne,4
131,2021,Sfruttamento e favoreggiamento della prostituzione,8
132,2021,Pornografia minorile e detenzione di materiale pedopornografico,74
133,2021,Furti,63485
134,2021,furti con strappo,1498
135,2021,Furti  con destrezza,18332
136,2021,Furti  in abitazioni,3741
137,2021,Furti  in esercizi commerciali,4348
138,2021,Furti  in auto in sosta,6276
139,2021,Furti  di opere d'arte e materiale archeologico,13
140,2021,Furti di automezzi pesanti trasportanti merci,6
141,2021,Furti di ciclomotori,430
142,2021,Furti di motocicli,1890
143,2021,Furti di autovetture,3404
144,2021,Rapine totale,2602
145,2021,Rapine in abitazione,70
146,2021,Rapine in banca,5
147,2021,Rapine in uffici postali,2
148,2021,Rapine in esercizi commerciali,248
149,2021,Rapine in pubblica via,1803
150,2021,Estorsioni,429
151,2021,Truffe e frodi informatiche,12021
152,2021,Delitti informatici,687
153,2021,Contraffazione di marchi e prodotti industriali,118
154,2021,Violazione della propriet? intellettuale,16
155,2021,Ricettazione,757
156,2021,"Riciclaggio e impiego di denaro, beni o utilit? di provenienza illecita",23
157,2021,Usura,6
158,2021,Danneggiamenti,14876
159,2021,Incendi totale,78
160,2021,Incendi boschivi,0
161,2021,Danneggiamento seguito da incendio,135
162,2021,Normativa sugli stupefacenti,1442
163,2021,Attentati,7
164,2021,Associazione per delinquere,86
165,2021,Associazione di tipo mafioso,6
166,2021,Contrabbando,0
167,2021,Altri delitti,16627
168,2021,Reati totale,118152
169,2020,Strage,1
170,2020,Omicidi volontari totale,7
171,2020,Omicidi a scopo di furto o rapina,1
172,2020,Omicidi di tipo mafioso,0
173,2020,Omicidi a scopo terroristico,0
174,2020,Tentati omicidi,22
175,2020,Infanticidi,0
176,2020,Omicidi preterintenzionali,1
177,2020,Omicidi colposi totale,50
178,2020,Omicidi colposi da incidente stradale,18
179,2020,Percosse,529
180,2020,Lesioni dolose,1676
181,2020,Minacce,1622
182,2020,Sequestri di persona,26
183,2020,Ingiurie,""
184,2020,Violenze sessuali,276
185,2020,Atti sessuali con minorenne,9
186,2020,Corruzione di minorenne,6
187,2020,Sfruttamento e favoreggiamento della prostituzione,9
188,2020,Pornografia minorile e detenzione di materiale pedopornografico,65
189,2020,Furti,45642
190,2020,furti con strappo,959
191,2020,Furti  con destrezza,11426
192,2020,Furti  in abitazioni,2740
193,2020,Furti  in esercizi commerciali,3393
194,2020,Furti  in auto in sosta,5704
195,2020,Furti  di opere d'arte e materiale archeologico,7
196,2020,Furti di automezzi pesanti trasportanti merci,10
197,2020,Furti di ciclomotori,350
198,2020,Furti di motocicli,1585
199,2020,Furti di autovetture,2844
200,2020,Rapine totale,1920
201,2020,Rapine in abitazione,49
202,2020,Rapine in banca,10
203,2020,Rapine in uffici postali,1
204,2020,Rapine in esercizi commerciali,216
205,2020,Rapine in pubblica via,1279
206,2020,Estorsioni,297
207,2020,Truffe e frodi informatiche,10487
208,2020,Delitti informatici,646
209,2020,Contraffazione di marchi e prodotti industriali,84
210,2020,Violazione della propriet? intellettuale,13
211,2020,Ricettazione,661
212,2020,"Riciclaggio e impiego di denaro, beni o utilit? di provenienza illecita",30
213,2020,Usura,2
214,2020,Danneggiamenti,12438
215,2020,Incendi totale,75
216,2020,Incendi boschivi,0
217,2020,Danneggiamento seguito da incendio,114
218,2020,Normativa sugli stupefacenti,1874
219,2020,Attentati,2
220,2020,Associazione per delinquere,9
221,2020,Associazione di tipo mafioso,5
222,2020,Contrabbando,0
223,2020,Altri delitti,16198
224,2020,Reati totale,94796
225,2019,Strage,0
226,2009,Omicidi volontari totale,8
227,2019,Omicidi a scopo di furto o rapina,1
228,2019,Omicidi di tipo mafioso,0
229,2019,Omicidi a scopo terroristico,0
230,2019,Tentati omicidi,32
231,2019,Infanticidi,0
232,2019,Omicidi preterintenzionali,1
233,2019,Omicidi colposi totale,31
234,2019,Omicidi colposi da incidente stradale,16
235,2019,Percosse,573
236,2019,Lesioni dolose,2156
237,2019,Minacce,1804
238,2019,Sequestri di persona,33
239,2019,Ingiurie,""
240,2019,Violenze sessuali,267
241,2019,Atti sessuali con minorenne,20
242,2019,Corruzione di minorenne,9
243,2019,Sfruttamento e favoreggiamento della prostituzione,13
244,2019,Pornografia minorile e detenzione di materiale pedopornografico,26
245,2019,Furti,81076
246,2019,furti con strappo,1232
247,2019,Furti  con destrezza,22685
248,2019,Furti  in abitazioni,4947
249,2019,Furti  in esercizi commerciali,5324
250,2019,Furti  in auto in sosta,9827
251,2019,Furti  di opere d'arte e materiale archeologico,7
252,2019,Furti di automezzi pesanti trasportanti merci,19
253,2019,Furti di ciclomotori,481
254,2019,Furti di motocicli,2073
255,2019,Furti di autovetture,4459
256,2019,Rapine totale,2259
257,2019,Rapine in abitazione,54
258,2019,Rapine in banca,10
259,2019,Rapine in uffici postali,3
260,2019,Rapine in esercizi commerciali,251
261,2019,Rapine in pubblica via,1576
262,2019,Estorsioni,410
263,2019,Truffe e frodi informatiche,11233
264,2019,Delitti informatici,655
265,2019,Contraffazione di marchi e prodotti industriali,145
266,2019,Violazione della propriet? intellettuale,14
267,2019,Ricettazione,760
