_id,Anno,Milano,Lombardia
1,1993,,59.3
2,1994,,58.7
3,1995,,59.1
4,1996,,59.6
5,1997,,59.7
6,1998,,60.7
7,1999,,61.8
8,2000,,62.6
9,2001,,63.8
10,2002,,64.7
11,2003,,65.3
12,2004,67.2,65.5
13,2005,68.7,65.5
14,2006,70.1,66.5
15,2007,70.2,66.7
16,2008,71.1,66.9
17,2009,69.5,65.7
18,2010,69,65
19,2011,68.8,64.6
20,2012,68.9,64.5
21,2013,69.9,64.8
22,2014,68.6,64.9
23,2015,70.2,65.1
24,2016,70.7,66.2
25,2017,70.9,67.3
26,2018,71.3,67.7
27,2019,72.7,68.4
28,2020,70.6,66.9
29,2021,70.4,66.5
30,2022,72.4,68.2
