_id,casa circondariale,anno_rilevazione_detenuti,indicatori,detenuti
1,Casa Circondariale S.Vittore,2020,Capienza regolamentare,743
2,Casa Circondariale S.Vittore,2020,Detenuti presenti al 31.12,921
3,Casa Circondariale S.Vittore,2020,detenuti stranieri totale,555
4,Casa Circondariale S.Vittore,2020,detenuti stranieri Ue,67
5,Casa Circondariale S.Vittore,2020,detenuti stranieri Ex Jugoslavia,17
6,Casa Circondariale S.Vittore,2020,detenuti stranieri Albania,26
7,Casa Circondariale S.Vittore,2020,detenuti stranieri Altri paesi europei,12
8,Casa Circondariale S.Vittore,2020,detenuti stranieri Tunisia,40
9,Casa Circondariale S.Vittore,2020,detenuti stranieri Marocco,130
10,Casa Circondariale S.Vittore,2020,detenuti stranieri Algeria,36
11,Casa Circondariale S.Vittore,2020,detenuti stranieri Nigeria,10
12,Casa Circondariale S.Vittore,2020,detenuti stranieri Altri paesi africani,105
13,Casa Circondariale S.Vittore,2020,detenuti stranieri Medio oriente,7
14,Casa Circondariale S.Vittore,2020,detenuti stranieri Altri paesi asiatici,52
15,Casa Circondariale S.Vittore,2020,detenuti stranieri Nord America,0
16,Casa Circondariale S.Vittore,2020,detenuti stranieri Centro America,12
17,Casa Circondariale S.Vittore,2020,detenuti stranieri Sud America,41
18,Casa Circondariale S.Vittore,2020,detenuti stranieri Altra provenienza,0
19,Casa di Reclusione Bollate,2020,Capienza regolamentare,1251
20,Casa di Reclusione Bollate,2020,Detenuti presenti al 31.12,1241
21,Casa di Reclusione Bollate,2020,detenuti stranieri totale,455
22,Casa di Reclusione Bollate,2020,detenuti stranieri Ue,60
23,Casa di Reclusione Bollate,2020,detenuti stranieri Ex Jugoslavia,12
24,Casa di Reclusione Bollate,2020,detenuti stranieri Albania,66
25,Casa di Reclusione Bollate,2020,detenuti stranieri Altri paesi europei,9
26,Casa di Reclusione Bollate,2020,detenuti stranieri Tunisia,22
27,Casa di Reclusione Bollate,2020,detenuti stranieri Marocco,90
28,Casa di Reclusione Bollate,2020,detenuti stranieri Algeria,7
