Anno;Cittadinanza;Continente;Genere;Residenti
1987;Afghanistan;Asia;Femmine;6
1987;Afghanistan;Asia;Maschi;7
1987;Albania;Europa;Femmine;7
1987;Albania;Europa;Maschi;15
1987;Algeria;Africa;Femmine;20
1987;Algeria;Africa;Maschi;54
1987;Altre nazioni o n.d.;None;Femmine;72
1987;Altre nazioni o n.d.;None;Maschi;96
1987;Angola;Africa;Maschi;1
1987;Antigua e Barbuda;Centro America;Maschi;1
1987;Apolide;None;Femmine;26
1987;Apolide;None;Maschi;53
1987;Saudi Arabia;Asia;Femmine;2
1987;Saudi Arabia;Asia;Maschi;5
1987;Area Ex-Urss;Europa;Femmine;22
1987;Area Ex-Urss;Europa;Maschi;24
1987;Argentina;Sud America;Femmine;173
1987;Argentina;Sud America;Maschi;203
1987;Australia;Oceania;Femmine;48
1987;Australia;Oceania;Maschi;37
1987;Austria;Europa;Femmine;300
1987;Austria;Europa;Maschi;242
1987;Bahamas;Centro America;Femmine;1
1987;Bangladesh;Asia;Femmine;3
1987;Bangladesh;Asia;Maschi;11
1987;Belgium;Europa;Femmine;143
1987;Belgium;Europa;Maschi;109
1987;Benin (ex Dahomey);Africa;Maschi;1
1987;Bolivia;Sud America;Femmine;9
1987;Bolivia;Sud America;Maschi;8
1987;Brazil;Sud America;Femmine;212
1987;Brazil;Sud America;Maschi;155
1987;Bulgaria;Europa;Femmine;39
1987;Bulgaria;Europa;Maschi;42
1987;Burundi;Africa;Maschi;7
1987;Cambodia;Asia;Femmine;1
1987;Cameroon;Africa;Femmine;15
1987;Cameroon;Africa;Maschi;18
1987;Canada;Nord America;Femmine;63
1987;Canada;Nord America;Maschi;65
1987;Cape Verde;Africa;Femmine;53
1987;Cape Verde;Africa;Maschi;12
1987;Czechoslovakia;Europa;Femmine;46
1987;Czechoslovakia;Europa;Maschi;38
1987;Central African Republic.;Africa;Maschi;1
1987;Chile;Sud America;Femmine;68
1987;Chile;Sud America;Maschi;63
1987;China;Asia;Femmine;455
1987;China;Asia;Maschi;614
1987;Cyprus;Europa;Femmine;10
1987;Cyprus;Europa;Maschi;28
1987;Colombia;Sud America;Femmine;49
1987;Colombia;Sud America;Maschi;32
1987;Congo;Africa;Femmine;5
1987;Congo;Africa;Maschi;2
1987;Congo Rep. Dem (ex Zaire);Africa;Femmine;6
1987;Congo Rep. Dem (ex Zaire);Africa;Maschi;15
1987;North Korea;Asia;Femmine;2
1987;North Korea;Asia;Maschi;2
1987;South Korea;Asia;Femmine;90
1987;South Korea;Asia;Maschi;76
1987;Ivory Coast;Africa;Femmine;12
1987;Ivory Coast;Africa;Maschi;32
1987;Costa Rica;Centro America;Femmine;7
1987;Costa Rica;Centro America;Maschi;2
1987;Cuba;Centro America;Femmine;8
1987;Cuba;Centro America;Maschi;9
1987;Denmark;Europa;Femmine;41
1987;Denmark;Europa;Maschi;36
1987;Dominicana, Rep.;Centro America;Femmine;34
1987;Dominicana, Rep.;Centro America;Maschi;7
1987;Ecuador;Sud America;Femmine;20
1987;Ecuador;Sud America;Maschi;3
1987;Egypt;Africa;Femmine;766
1987;Egypt;Africa;Maschi;2401
1987;El Salvador;Centro America;Femmine;332
1987;El Salvador;Centro America;Maschi;99
1987;Ethiopia;Africa;Femmine;1122
1987;Ethiopia;Africa;Maschi;674
1987;Philippines;Asia;Femmine;778
1987;Philippines;Asia;Maschi;207
1987;Finland;Europa;Femmine;28
1987;Finland;Europa;Maschi;14
1987;France;Europa;Femmine;1133
1987;France;Europa;Maschi;965
1987;Gabon;Africa;Femmine;2
1987;Gambia;Africa;Maschi;3
1987;Germany;Europa;Femmine;1100
1987;Germany;Europa;Maschi;1049
1987;Germany Democratica;Europa;Femmine;2
1987;Ghana;Africa;Femmine;4
1987;Ghana;Africa;Maschi;9
1987;Jamaica;Centro America;Femmine;3
1987;Jamaica;Centro America;Maschi;2
1987;Japan;Asia;Femmine;504
1987;Japan;Asia;Maschi;629
1987;Jordan;Asia;Femmine;5
1987;Jordan;Asia;Maschi;153
1987;Greece;Europa;Femmine;309
1987;Greece;Europa;Maschi;611
1987;Guatemala;Centro America;Femmine;7
1987;Guatemala;Centro America;Maschi;5
1987;Guinea;Africa;Maschi;14
1987;Haiti;Centro America;Femmine;25
1987;Haiti;Centro America;Maschi;4
1987;Honduras;Centro America;Femmine;1
1987;India;Asia;Femmine;93
1987;India;Asia;Maschi;83
1987;Indonesia;Asia;Femmine;11
1987;Indonesia;Asia;Maschi;8
1987;Iran;Asia;Femmine;468
1987;Iran;Asia;Maschi;657
1987;Iraq;Asia;Femmine;23
1987;Iraq;Asia;Maschi;53
1987;Ireland;Europa;Femmine;46
1987;Ireland;Europa;Maschi;34
1987;Iceland;Europa;Femmine;1
1987;Iceland;Europa;Maschi;1
1987;Israel;Europa;Femmine;379
1987;Israel;Europa;Maschi;531
1987;Jugoslavia (Serbia-Montenegro);Europa;Femmine;419
1987;Jugoslavia (Serbia-Montenegro);Europa;Maschi;413
1987;Kenya;Africa;Femmine;3
1987;Kenya;Africa;Maschi;7
1987;Lebanon;Asia;Femmine;133
1987;Lebanon;Asia;Maschi;245
1987;Liberia;Africa;Femmine;1
1987;Liberia;Africa;Maschi;3
1987;Libya;Africa;Femmine;68
1987;Libya;Africa;Maschi;82
1987;Luxembourg;Europa;Femmine;6
1987;Luxembourg;Europa;Maschi;11
1987;Madagascar;Africa;Femmine;4
1987;Madagascar;Africa;Maschi;2
1987;Malaysia;Asia;Femmine;2
1987;Malaysia;Asia;Maschi;10
1987;Mali;Africa;Femmine;1
1987;Malta;Europa;Femmine;14
1987;Malta;Europa;Maschi;7
1987;Morocco;Africa;Femmine;105
1987;Morocco;Africa;Maschi;316
1987;Mauritius;Africa;Femmine;56
1987;Mauritius;Africa;Maschi;30
1987;Mexico;Centro America;Femmine;38
1987;Mexico;Centro America;Maschi;44
1987;Mozambique;Africa;Femmine;1
1987;Mozambique;Africa;Maschi;5
1987;Myanmar (ex Birmania);Asia;Femmine;1
1987;Nepal;Asia;Femmine;1
1987;Nepal;Asia;Maschi;2
1987;Nicaragua;Centro America;Femmine;4
1987;Nicaragua;Centro America;Maschi;4
1987;Niger;Africa;Maschi;1
1987;Nigeria;Africa;Femmine;17
1987;Nigeria;Africa;Maschi;36
1987;Norway;Europa;Femmine;10
1987;Norway;Europa;Maschi;15
1987;New Zealand;Oceania;Femmine;5
1987;New Zealand;Oceania;Maschi;8
1987;Oman;Asia;Femmine;1
1987;Netherlands;Europa;Femmine;131
1987;Netherlands;Europa;Maschi;151
1987;Pakistan;Asia;Femmine;6
1987;Pakistan;Asia;Maschi;42
1987;Panama;Centro America;Femmine;3
1987;Panama;Centro America;Maschi;8
1987;Paraguay;Sud America;Femmine;5
1987;Paraguay;Sud America;Maschi;2
1987;Peru;Sud America;Femmine;88
1987;Peru;Sud America;Maschi;37
1987;Poland;Europa;Femmine;98
1987;Poland;Europa;Maschi;88
1987;Portugal;Europa;Femmine;74
1987;Portugal;Europa;Maschi;45
1987;United Kingdom;Europa;Femmine;1065
1987;United Kingdom;Europa;Maschi;1067
1987;Romania;Europa;Femmine;99
1987;Romania;Europa;Maschi;90
1987;Rwanda;Africa;Femmine;5
1987;Rwanda;Africa;Maschi;6
1987;San Marino;Europa;Femmine;48
1987;San Marino;Europa;Maschi;32
1987;Senegal;Africa;Femmine;8
1987;Senegal;Africa;Maschi;61
1987;Seychelles;Africa;Femmine;54
1987;Seychelles;Africa;Maschi;9
1987;Sierra Leone;Africa;Femmine;6
1987;Sierra Leone;Africa;Maschi;12
1987;Singapore;Asia;Femmine;3
1987;Singapore;Asia;Maschi;3
1987;Syria;Asia;Femmine;38
1987;Syria;Asia;Maschi;72
1987;Somalia;Africa;Femmine;47
1987;Somalia;Africa;Maschi;72
1987;Spain;Europa;Femmine;433
1987;Spain;Europa;Maschi;333
1987;Sri Lanka;Asia;Femmine;108
1987;Sri Lanka;Asia;Maschi;200
1987;United States of America;Nord America;Femmine;809
1987;United States of America;Nord America;Maschi;834
1987;South Africa;Africa;Femmine;20
1987;South Africa;Africa;Maschi;25
1987;Sudan;Africa;Femmine;5
1987;Sudan;Africa;Maschi;20
1987;Sweden;Europa;Femmine;75
1987;Sweden;Europa;Maschi;64
1987;Switzerland;Europa;Femmine;1017
1987;Switzerland;Europa;Maschi;1011
1987;Taiwan (ex Formosa);Asia;Femmine;42
1987;Taiwan (ex Formosa);Asia;Maschi;35
1987;Tanzania;Africa;Femmine;5
1987;Tanzania;Africa;Maschi;6
1987;Thailandia;Asia;Femmine;31
1987;Thailandia;Asia;Maschi;4
1987;Togo;Centro America;Femmine;1
1987;Togo;Centro America;Maschi;5
1987;Trinidad and Tobago;Centro America;Femmine;3
1987;Trinidad and Tobago;Centro America;Maschi;2
1987;Tunisia;Africa;Femmine;47
1987;Tunisia;Africa;Maschi;161
1987;Turkey;Asia;Femmine;240
1987;Turkey;Asia;Maschi;270
1987;Uganda;Africa;Maschi;1
1987;Hungary;Europa;Femmine;92
1987;Hungary;Europa;Maschi;79
1987;Uruguay;Sud America;Femmine;49
1987;Uruguay;Sud America;Maschi;57
1987;Venezuela;Sud America;Femmine;39
1987;Venezuela;Sud America;Maschi;57
1987;Vietnam;Asia;Femmine;8
1987;Vietnam;Asia;Maschi;38
1987;Yemen;Asia;Maschi;4
1987;Zambia;Africa;Femmine;1
1987;Zambia;Africa;Maschi;1
1988;Afghanistan;Asia;Femmine;6
1988;Afghanistan;Asia;Maschi;7
1988;Albania;Europa;Femmine;7
1988;Albania;Europa;Maschi;13
1988;Algeria;Africa;Femmine;19
1988;Algeria;Africa;Maschi;62
