_id,Anno,Cittadinanza,infortuni,infortuni mortali
1,2022,Cittadinanza - Italiani,20011,17
2,2022,Cittadinanza - Unione Europea ( esclusa Italia ),744,1
3,2022,Cittadinanza - Extra Unione Europea ,5183,9
4,2021,Cittadinanza - Italiani,14215,18
5,2021,Cittadinanza - Unione Europea ( esclusa Italia ),574,0
6,2021,Cittadinanza - Extra Unione Europea ,3984,5
7,2020,Cittadinanza - Italiani,16402,38
8,2020,Cittadinanza - Unione Europea ( esclusa Italia ),772,1
9,2020,Cittadinanza - Extra Unione Europea ,4748,12
10,2019,Cittadinanza - Italiani,16002,16
11,2019,Cittadinanza - Unione Europea ( esclusa Italia ),676,0
12,2019,Cittadinanza - Extra Unione Europea ,4454,2
13,2018,Cittadinanza - Italiani,16369,18
14,2018,Cittadinanza - Unione Europea ( esclusa Italia ),703,0
15,2018,Cittadinanza - Extra Unione Europea ,4127,1
16,2017,Cittadinanza - Italiani,16483,16
17,2017,Cittadinanza - Unione Europea ( esclusa Italia ),678,0
18,2017,Cittadinanza - Extra Unione Europea ,3828,4
19,2016,Cittadinanza - Italiani,15374,14
20,2016,Cittadinanza - Unione Europea ( esclusa Italia ),655,0
21,2016,Cittadinanza - Extra Unione Europea ,3621,3
22,2015,Cittadinanza - Italiani,15115,20
23,2015,Cittadinanza - Unione Europea ( esclusa Italia ),647,2
24,2015,Cittadinanza - Extra Unione Europea ,3173,1
25,2014,Cittadinanza - Italiani,15581,9
26,2014,Cittadinanza - Unione Europea ( esclusa Italia ),682,1
27,2014,Cittadinanza - Extra Unione Europea ,3274,0
28,2013,Cittadinanza - Italiani,16475,21
29,2013,Cittadinanza - Unione Europea ( esclusa Italia ),684,0
30,2013,Cittadinanza - Extra Unione Europea ,3316,2
31,2012,Cittadinanza - Italiani,16730,13
32,2012,Cittadinanza - Unione Europea ( esclusa Italia ),730,0
33,2012,Cittadinanza - Extra Unione Europea ,3414,7
34,2011,Cittadinanza - Italiani,17263,10
35,2011,Cittadinanza - Unione Europea ( esclusa Italia ),739,0
36,2011,Cittadinanza - Extra Unione Europea ,3462,4
37,2010,Cittadinanza - Italiani,18157,22
38,2010,Cittadinanza - Unione Europea ( esclusa Italia ),684,0
39,2010,Cittadinanza - Extra Unione Europea ,3518,2
